"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
46597,"ID-0016","heliport","Inna GBB Helipad",-8.67694444444,115.265,,"AS","ID","ID-BA",,"no",,,,,,
309298,"ID-0017","large_airport","Sungai Siring International Airport",-0.373611,117.255556,82,"AS","ID","ID-KI","Samarinda","yes",,,,"http://www.proyek.dishubprovkaltim.info/?pro=1","http://en.wikipedia.org/wiki/Samarinda_International_Airport","Sungai Siring Airport, فرودگاه سیرینگ"
316780,"ID-0018","closed","Selaru Airstrip",-8.256,130.842,20,"AS","ID","ID-MA","Selaru Island","no",,,,,,"Lingat"
302358,"ID-0019","heliport","Paiton Power Helipad",-7.7169054,113.597366,5,"AS","ID","ID-JI","Bhinar","no",,,"PRO",,,
302359,"ID-0020","heliport","Karyadibya Helipad",-7.76384709931,112.737796605,,"AS","ID","ID-JI","Purwosari","no",,,,,,
302360,"ID-0021","heliport","Pandaan Helipad",-7.7683326,112.7391373,,"AS","ID","ID-JI","Purwosari","no",,,"UNK",,,
310313,"ID-0044","small_airport","Derapos Airstrip",-2.9737,137.2234,433,"AS","ID","ID-PA","Derapos","no",,,"DEP",,,"WX68"
310319,"ID-0045","small_airport","Dou Airstrip",-3.2625,138.1484,299,"AS","ID","ID-PA","Dou","no",,,"DOU",,,
310321,"ID-0046","small_airport","Doyo Baru Airport",-2.5388,140.4641,385,"AS","ID","ID-PA","Doyo Baru","no",,,"DOB",,,
310323,"ID-0047","small_airport","Eaopoto Airstrip",-3.9497,136.3383,5900,"AS","ID","ID-PA","Eaopoto","no",,,"EPO",,,"WX75"
310326,"ID-0048","small_airport","Engkadik Airstrip",0.9797,110.0282,2190,"AS","ID","ID-KB","Engkadik","no",,,"ENK",,,"WX79"
310330,"ID-0049","small_airport","Eri Airstrip",-2.6308,138.1094,440,"AS","ID","ID-PA","Eri","no",,,"ERI",,,"WX83"
310332,"ID-0050","small_airport","Faowi Airstrip",-3.2301,137.7262,333,"AS","ID","ID-PA","Faowi","no",,,"FAO",,,"WX84"
310333,"ID-0051","small_airport","Fef Airport",-0.8103,132.4326,1406,"AS","ID","ID-PB","Fef","no",,,"FEF",,,"WX85"
310334,"ID-0052","small_airport","Foao Airstrip",-3.066,139.099,241,"AS","ID","ID-PA","Foao","no",,,"FOA",,,"WX86"
310338,"ID-0053","small_airport","Fruata Airstrip",-2.9858,133.5001,192,"AS","ID","ID-PB","Fruata","no",,,"FRU",,,"WX87"
310342,"ID-0054","small_airport","Geyarek Airstrip",-4.6504,138.75226,248,"AS","ID","ID-PA","Geyarek","no",,,"GEA",,,"WX92"
310344,"ID-0055","small_airport","Gilgal Airstrip",0.458,111.0707,108,"AS","ID","ID-KB","Gilgal","no",,,"GIL",,,"WX93"
310347,"ID-0056","small_airport","Gusimawa Airstrip",-3.0423,133.8779,131,"AS","ID","ID-PB","Gusimawa","no",,,,,,"WX97"
310349,"ID-0057","small_airport","Haya Airstrip",-2.8156,138.1099,250,"AS","ID","ID-PA","Haya","no",,,"HAY",,,"WX98"
